2025-09-10 09:31:15.485 | INFO     | logging:callHandlers:1762 | AFC is enabled with max remote calls: 10.
2025-09-10 09:31:18.241 | INFO     | logging:callHandlers:1762 | HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-2.0-flash-001:generateContent "HTTP/1.1 200 OK"
2025-09-10 09:31:18.242 | INFO     | logging:callHandlers:1762 | AFC remote call 1 is done.
2025-09-10 09:31:18.242 | DEBUG    | app.services.ai.drivers.gemini_driver:generate_text:107 | Gemini raw response (model=gemini-2.0-flash-001, request_id=26edfdfd-781b-4d07-845b-78b35b8932fe): "sdk_http_response=HttpResponse(\n  headers=<dict len=11>\n) candidates=[Candidate(\n  avg_logprobs=-0.7829464039904006,\n  content=Content(\n    parts=[\n      Part(\n        text=\"\"\"Why did the AI cross the road?\n\nBecause it analyzed traffic patterns and determined that crossing at that precise moment would optimize its route to achieve its objective, while minimizing potential risks, and also, because a chicken told it to.\n\"\"\"\n      ),\n    ],\n    role='model'\n  ),\n  finish_reason=<FinishReason.STOP: 'STOP'>\n)] create_time=None model_version='gemini-2.0-flash-001' prompt_feedback=None response_id='Ff_AaLmZGMywqtsPsb_l2A4' usage_metadata=GenerateContentResponseUsageMetadata(\n  candidates_token_count=47,\n  candidates_tokens_details=[\n    ModalityTokenCount(\n      modality=<MediaModality.TEXT: 'TEXT'>,\n      token_count=47\n    ),\n  ],\n  prompt_token_count=6,\n  prompt_tokens_details=[\n    ModalityTokenCount(\n      modality=<MediaModality.TEXT: 'TEXT'>,\n      token_count=6\n    ),\n  ],\n  total_token_count=53\n) automatic_function_calling_history=[] parsed=None"
2025-09-10 09:31:18.242 | INFO     | logging:callHandlers:1762 | 127.0.0.1:36014 - "POST /api/ai/generate HTTP/1.1" 200
2025-09-10 09:34:20.693 | INFO     | logging:callHandlers:1762 | Shutting down
2025-09-10 09:34:20.792 | INFO     | logging:callHandlers:1762 | Waiting for application shutdown.
2025-09-10 09:34:20.792 | INFO     | logging:callHandlers:1762 | Application shutdown complete.
2025-09-10 09:34:25.006 | INFO     | logging:callHandlers:1762 | Cleaned up 0 temp files, freed 0 bytes
2025-09-10 09:34:27.164 | INFO     | logging:callHandlers:1762 | HTTP Request: GET https://api.openai.com/v1/models "HTTP/1.1 200 OK"
2025-09-10 09:34:28.681 | INFO     | logging:callHandlers:1762 | HTTP Request: GET https://generativelanguage.googleapis.com/v1beta/models "HTTP/1.1 200 OK"
2025-09-10 09:34:29.056 | INFO     | logging:callHandlers:1762 | HTTP Request: GET https://generativelanguage.googleapis.com/v1beta/models?pageToken=Ch5tb2RlbHMvaW1hZ2VuLTMuMC1nZW5lcmF0ZS0wMDI%3D "HTTP/1.1 200 OK"
2025-09-10 09:34:29.058 | INFO     | logging:callHandlers:1762 | Application startup complete.
2025-09-10 09:35:14.649 | INFO     | logging:callHandlers:1762 | Shutting down
2025-09-10 09:35:19.351 | INFO     | logging:callHandlers:1762 | Cleaned up 0 temp files, freed 0 bytes
2025-09-10 09:35:20.601 | INFO     | logging:callHandlers:1762 | HTTP Request: GET https://api.openai.com/v1/models "HTTP/1.1 200 OK"
2025-09-10 09:35:22.760 | INFO     | logging:callHandlers:1762 | HTTP Request: GET https://generativelanguage.googleapis.com/v1beta/models "HTTP/1.1 200 OK"
2025-09-10 09:35:23.212 | INFO     | logging:callHandlers:1762 | HTTP Request: GET https://generativelanguage.googleapis.com/v1beta/models?pageToken=Ch5tb2RlbHMvaW1hZ2VuLTMuMC1nZW5lcmF0ZS0wMDI%3D "HTTP/1.1 200 OK"
2025-09-10 09:35:23.215 | INFO     | logging:callHandlers:1762 | Application startup complete.
2025-09-10 09:35:24.008 | INFO     | logging:callHandlers:1762 | AFC is enabled with max remote calls: 10.
2025-09-10 09:35:25.312 | INFO     | logging:callHandlers:1762 | HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-2.0-flash-001:generateContent "HTTP/1.1 200 OK"
2025-09-10 09:35:25.315 | INFO     | logging:callHandlers:1762 | AFC remote call 1 is done.
